alt event	gene name	gene type	event type	overlaps with	overlap gene	P val up	P val down	min p val	rank up	rank down	min rank	Q val up	Q val down	min Q val
alt_region_3373	AT2G31560	mRNA	intron_ret	None	None	1	0.021112	0.021112	11455	2230	2230	1	0.19557	0.19557
alt_region_33730	AT3G42670	mRNA	alt_3prime	None	None	1	0.183507	0.183507	11455	5481	5481	1	0.775321	0.775321
alt_region_33731	AT3G42670	mRNA	alt_3prime	None	None	1	0.180241	0.180241	11455	5438	5438	1	0.768274	0.768274
alt_region_33732	AT3G43220	mRNA	alt_3prime	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_33733	AT3G43220	mRNA	alt_3prime	None	None	1	0.91078	0.91078	11455	14377	11455	1	1	1
alt_region_33734	AT3G43220	mRNA	alt_3prime	None	None	0.630782	1	0.630782	8124	15386	8124	1	1	1
alt_region_33735	AT3G43220	mRNA	alt_3prime	None	None	0.244225	1	0.244225	4930	15386	4930	0.897183	1	0.897183
alt_region_33736	AT3G43220	mRNA	alt_3prime	None	None	0.001686	1	0.001686	1219	15386	1219	0.031768	1	0.031768
alt_region_33737	AT3G43240	mRNA	alt_3prime	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_33738	AT3G43300	mRNA	alt_3prime	None	None	1	0.051658	0.051658	11455	3116	3116	1	0.359844	0.359844
alt_region_33739	AT3G43300	mRNA	alt_3prime	None	None	1	0.629732	0.629732	11455	11005	11005	1	1	1
alt_region_3374	AT2G31560	mRNA	intron_ret	None	None	1	0.052256	0.052256	11455	3128	3128	1	0.362932	0.362932
alt_region_33740	AT3G43300	mRNA	alt_3prime	None	None	1	0.365987	0.365987	11455	7907	7907	1	1	1
alt_region_33741	AT3G43300	mRNA	alt_3prime	None	None	0.90805	1	0.90805	10612	15386	10612	1	1	1
alt_region_33742	AT3G43610	mRNA	alt_3prime	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_33743	AT3G43720	mRNA	alt_3prime	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_33744	AT3G43960	mRNA	alt_3prime	transposon_fragment	AT3TE63770:AT3TE63775	1	0.700086	0.700086	11455	11857	11455	1	1	1
alt_region_33745	AT3G44010	mRNA	alt_3prime	transposon_fragment	AT3TE63880	0.285171	1	0.285171	5273	15386	5273	0.972389	1	0.972389
alt_region_33746	AT3G44160	mRNA	alt_3prime	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_33747	AT3G44160	mRNA	alt_3prime	None	None	0.913182	1	0.913182	10663	15386	10663	1	1	1
alt_region_33748	AT3G44190	mRNA	alt_3prime	None	None	0.911212	1	0.911212	10646	15386	10646	1	1	1
alt_region_33749	AT3G44190	mRNA	alt_3prime	None	None	0.883613	1	0.883613	10371	15386	10371	1	1	1
alt_region_3375	AT2G31560	mRNA	intron_ret	None	None	1	0.015816	0.015816	11455	2002	2002	1	0.16072	0.16072
alt_region_33750	AT3G44280	mRNA	alt_3prime	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_33751	AT3G44280	mRNA	alt_3prime	None	None	1	0.430692	0.430692	11455	8747	8747	1	1	1
alt_region_33752	AT3G44280	mRNA	alt_3prime	None	None	1	0.430692	0.430692	11455	8747	8747	1	1	1
alt_region_33753	AT3G44290	mRNA	alt_3prime	None	None	1	0.561912	0.561912	11455	10236	10236	1	1	1
alt_region_33754	AT3G44340	mRNA	alt_3prime	None	None	0.016503	1	0.016503	2097	15386	2097	0.165593	1	0.165593
alt_region_33755	AT3G44340	mRNA	alt_3prime	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_33756	AT3G44350	mRNA	alt_3prime	None	None	1	0.490117	0.490117	11455	9419	9419	1	1	1
alt_region_33757	AT3G44370	mRNA	alt_3prime	None	None	1	0.91288	0.91288	11455	14409	11455	1	1	1
alt_region_33758	AT3G44370	mRNA	alt_3prime	None	None	1	0.915736	0.915736	11455	14442	11455	1	1	1
alt_region_33759	AT3G44370	mRNA	alt_3prime	None	None	1	0.432051	0.432051	11455	8759	8759	1	1	1
alt_region_3376	AT2G31560	mRNA	intron_ret	mRNA	AT2G31570	1	0.390121	0.390121	11455	8229	8229	1	1	1
alt_region_33760	AT3G44370	mRNA	alt_3prime	None	None	0.459054	1	0.459054	6678	15386	6678	1	1	1
alt_region_33761	AT3G44370	mRNA	alt_3prime	None	None	0.011123	1	0.011123	1875	15386	1875	0.12644	1	0.12644
alt_region_33762	AT3G44480	mRNA	alt_3prime	transposon_fragment	AT3TE65130	0.48641	1	0.48641	6899	15386	6899	1	1	1
